Mes,carros usados: (Antioquia)
2006-01,78
2006-02,53
2006-03,48
2006-04,71
2006-05,41
2006-06,37
2006-07,59
2006-08,63
2006-09,38
2006-10,48
2006-11,55
2006-12,52
2007-01,54
2007-02,40
2007-03,30
2007-04,52
2007-05,40
2007-06,51
2007-07,55
2007-08,52
2007-09,41
2007-10,37
2007-11,41
2007-12,59
2008-01,71
2008-02,55
2008-03,57
2008-04,44
2008-05,38
2008-06,50
2008-07,52
2008-08,39
2008-09,31
2008-10,49
2008-11,42
2008-12,52
2009-01,41
2009-02,47
2009-03,45
2009-04,53
2009-05,54
2009-06,78
2009-07,74
2009-08,62
2009-09,55
2009-10,62
2009-11,78
2009-12,70
2010-01,100
2010-02,83
2010-03,73
2010-04,79
2010-05,68
2010-06,77
2010-07,71
2010-08,69
2010-09,68
2010-10,57
2010-11,72
2010-12,63
2011-01,84
2011-02,68
2011-03,58
2011-04,53
2011-05,50
2011-06,61
2011-07,56
2011-08,57
2011-09,54
2011-10,57
2011-11,46
2011-12,61
2012-01,73
2012-02,60
2012-03,55
2012-04,54
2012-05,51
2012-06,59
2012-07,57
2012-08,51
2012-09,50
2012-10,46
2012-11,53
2012-12,56
2013-01,79
2013-02,53
2013-03,62
2013-04,63
2013-05,61
2013-06,58
2013-07,62
2013-08,60
2013-09,63
2013-10,57
2013-11,60
2013-12,59
2014-01,75
2014-02,65
2014-03,64
2014-04,69
2014-05,57
2014-06,62
2014-07,62
2014-08,62
2014-09,59
2014-10,57
2014-11,60
2014-12,60
2015-01,78
2015-02,70
2015-03,64
2015-04,58
2015-05,56
2015-06,65
2015-07,67
2015-08,63
2015-09,59
2015-10,57
2015-11,62
2015-12,69
2016-01,78
2016-02,66
2016-03,65
2016-04,59
2016-05,53
2016-06,58
2016-07,61
2016-08,51
2016-09,53
2016-10,51
2016-11,52
2016-12,52
2017-01,72
2017-02,55
2017-03,53
2017-04,49
2017-05,42
2017-06,47
2017-07,50
2017-08,42
2017-09,43
2017-10,44
2017-11,45
2017-12,43
2018-01,51
2018-02,40
2018-03,38
2018-04,38
2018-05,38
2018-06,34
2018-07,43
2018-08,41
2018-09,36
2018-10,38
2018-11,34
2018-12,38
2019-01,46
2019-02,37
2019-03,32
2019-04,36
2019-05,36
2019-06,41
2019-07,38
2019-08,36
2019-09,33
2019-10,34
2019-11,33
2019-12,37
2020-01,46
2020-02,36
2020-03,22
2020-04,17
2020-05,22
2020-06,31
2020-07,29
2020-08,28
2020-09,40
2020-10,42
2020-11,43
2020-12,47
2021-01,49
2021-02,42
2021-03,45
2021-04,31
2021-05,30
2021-06,37
2021-07,41
2021-08,47
2021-09,37
2021-10,38
2021-11,38
2021-12,39
2022-01,52
2022-02,42
2022-03,34
2022-04,36
2022-05,31
2022-06,31
2022-07,32
2022-08,30
2022-09,26
2022-10,26
2022-11,24
2022-12,23
2023-01,27
2023-02,22
2023-03,22
2023-04,22
2023-05,20
2023-06,21
2023-07,23
2023-08,22
2023-09,19
2023-10,17
2023-11,15
2023-12,17
2024-01,23
2024-02,16
2024-03,16
2024-04,14
2024-05,13
2024-06,16
2024-07,13
2024-08,16
2024-09,15
2024-10,15
2024-11,15
2024-12,13
2025-01,21
2025-02,15
2025-03,16
2025-04,16
2025-05,12
2025-06,15
2025-07,14
2025-08,16
2025-09,14
2025-10,14
